iter	Passed	Remaining
628	12113	7144
629	12126	7122
630	12141	7100
631	12160	7080
632	12176	7059
633	12191	7037
634	12206	7016
635	12221	6994
636	12236	6973
637	12253	6952
638	12268	6930
639	12284	6909
640	12300	6888
641	12315	6867
642	12331	6846
643	12346	6825
644	12361	6803
645	12376	6781
646	12392	6761
647	12407	6739
648	12426	6720
649	12441	6699
650	12455	6677
651	12469	6655
652	12483	6633
653	12506	6616
654	12533	6601
655	12609	6612
656	12667	6613
657	12690	6595
658	12717	6580
659	12732	6559
660	12748	6538
661	12765	6517
662	12789	6500
663	12810	6482
664	12829	6463
665	12852	6445
666	12869	6425
667	12887	6405
668	12907	6386
669	12922	6364
670	12939	6344
671	12955	6323
672	12970	6302
673	12985	6280
674	12999	6259
675	13016	6238
676	13032	6217
677	13049	6197
678	13067	6177
679	13081	6156
680	13096	6134
681	13126	6120
682	13141	6099
683	13156	6078
684	13171	6056
685	13187	6036
686	13202	6015
687	13216	5993
688	13230	5972
689	13257	5956
690	13341	5966
691	13414	5970
692	13455	5960
693	13517	5960
694	13543	5943
695	13569	5927
696	13585	5905
697	13599	5884
698	13614	5862
699	13630	5841
700	13645	5820
701	13661	5799
702	13675	5777
703	13689	5755
704	13704	5734
705	13720	5713
706	13735	5692
707	13751	5671
708	13765	5650
709	13780	5628
710	13794	5607
711	13828	5593
712	13844	5572
713	13873	5557
714	13891	5536
715	13906	5515
716	13920	5494
717	13934	5472
718	13954	5453
719	13984	5438
720	14001	5418
721	14017	5397
722	14040	5379
723	14057	5359
724	14131	5360
725	14159	5343
726	14197	5331
727	14239	5320
728	14254	5298
729	14268	5277
730	14291	5259
731	14306	5237
732	14322	5217
733	14336	5195
734	14352	5174
735	14369	5154
736	14388	5134
737	14422	5120
738	14441	5100
739	14456	5079
740	14471	5058
741	14486	5037
742	14503	5016
743	14523	4997
744	14538	4976
745	14556	4956
746	14583	4939
747	14597	4917
748	14615	4897
749	14631	4877
750	14646	4856
751	14661	4835
752	14678	4814
753	14692	4793
754	14707	4772
755	14721	4751
756	14734	4729
757	14750	4709
758	14766	4688
759	14780	4667
760	14798	4647
761	14813	4626
762	14829	4606
763	14844	4585
764	14861	4565
765	14879	4545
766	14905	4528
767	14920	4507
768	14935	4486
769	14949	4465
770	14964	4444
771	14980	4424
772	14995	4403
773	15009	4382
774	15024	4361
775	15038	4341
776	15053	4320
777	15066	4299
778	15086	4280
779	15100	4258
780	15115	4238
781	15135	4219
782	15150	4198
783	15164	4178
784	15180	4157
785	15197	4137
786	15233	4123
787	15267	4107
788	15283	4087
789	15300	4067
790	15316	4047
791	15340	4028
792	15354	4008
793	15369	3987
794	15384	3967
795	15398	3946
796	15417	3927
797	15444	3909
798	15467	3891
799	15491	3872
800	15519	3855
801	15541	3837
802	15568	3819
803	15597	3802
804	15626	3785
805	15728	3785
806	15743	3765
807	15773	3748
808	15792	3728
809	15818	3710
810	15837	3690
811	15863	3672
812	15876	3651
813	15890	3631
814	15904	3610
815	15919	3589
816	15934	3569
817	15949	3548
818	15963	3527
819	15977	3507
820	15991	3486
821	16006	3466
822	16021	3445
823	16036	3425
824	16051	3404
825	16065	3384
826	16079	3363
827	16093	3343
828	16109	3322
829	16123	3302
830	16137	3281
831	16152	3261
832	16166	3241
833	16180	3220
834	16194	3200
835	16209	3179
836	16224	3159
837	16238	3139
838	16252	3118
839	16266	3098
840	16279	3077
841	16302	3059
842	16317	3038
843	16331	3018
844	16344	2998
845	16359	2977
846	16373	2957
847	16386	2937
848	16400	2916
849	16416	2896
850	16429	2876
851	16444	2856
852	16469	2838
853	16483	2818
854	16497	2797
855	16519	2779
856	16536	2759
857	16558	2740
858	16576	2720
859	16592	2701
860	16609	2681
861	16629	2662
862	16645	2642
863	16662	2622
864	16679	2603
865	16698	2583
866	16731	2566
867	16753	2547
868	16771	2528
869	16787	2508
870	16833	2493
871	16869	2476
872	16892	2457
873	16914	2438
874	16931	2418
875	16950	2399
876	16967	2379
877	16984	2360
878	16999	2340
879	17018	2320
880	17054	2303
881	17071	2283
882	17088	2264
883	17106	2244
884	17126	2225
885	17146	2206
886	17163	2186
887	17188	2167
888	17208	2148
889	17228	2129
890	17257	2111
891	17275	2091
892	17296	2072
893	17316	2053
894	17332	2033
895	17369	2016
896	17385	1996
897	17401	1976
898	17425	1957
899	17445	1938
900	17471	1919
901	17487	1899
902	17509	1880
903	17530	1861
904	17554	1842
905	17570	1822
906	17595	1804
907	17611	1784
908	17627	1764
909	17644	1745
910	17661	1725
911	17676	1705
912	17711	1687
913	17732	1668
914	17748	1648
915	17764	1629
916	17781	1609
917	17797	1589
918	17813	1570
919	17833	1550
920	17861	1532
921	17878	1512
922	17893	1492
923	17911	1473
924	17931	1453
925	17948	1434
926	17970	1415
927	17985	1395
928	18004	1376
929	18023	1356
930	18043	1337
931	18069	1318
932	18094	1299
933	18110	1279
934	18126	1260
935	18147	1240
936	18167	1221
937	18183	1201
938	18198	1182
939	18218	1162
940	18233	1143
941	18257	1124
942	18274	1104
943	18289	1084
944	18306	1065
945	18324	1045
946	18340	1026
947	18356	1006
948	18379	987
949	18393	968
950	18414	948
951	18437	929
952	18453	910
953	18467	890
954	18482	870
955	18498	851
956	18514	831
957	18534	812
958	18557	793
959	18573	773
960	18588	754
961	18603	734
962	18624	715
963	18646	696
964	18667	677
965	18684	657
966	18699	638
967	18719	618
968	18741	599
969	18760	580
970	18789	561
971	18816	542
972	18857	523
973	18877	503
974	18892	484
975	18908	464
976	18923	445
977	18940	426
978	18957	406
979	18972	387
980	18988	367
981	19005	348
982	19020	328
983	19038	309
984	19053	290
985	19078	270
986	19095	251
987	19110	232
988	19126	212
989	19163	193
990	19181	174
991	19196	154
992	19211	135
993	19231	116
994	19247	96
995	19263	77
996	19279	58
997	19296	38
998	19312	19
999	19327	0
