iter	MultiClass
0	0.9956346978
1	0.9162212071
2	0.853568086
3	0.8032948884
4	0.7611110318
5	0.7250770113
6	0.6936133003
7	0.6669551012
8	0.6444468653
9	0.6255451565
10	0.6080533626
11	0.5930275756
12	0.5794199346
13	0.567484733
14	0.5578970197
15	0.5486052273
16	0.5405440435
17	0.5329850347
18	0.5267794854
19	0.5219477845
20	0.5166029318
21	0.5115475707
22	0.5070445028
23	0.503413009
24	0.4998154468
25	0.4965849525
26	0.4936811429
27	0.4911168741
28	0.4887886002
29	0.4863920342
30	0.4845362749
31	0.4823423091
32	0.4806179043
33	0.4792031549
34	0.4776967119
35	0.4761308391
36	0.4748841731
37	0.4735324404
38	0.4725936329
39	0.471333825
40	0.4701927254
41	0.4692940962
42	0.4683962812
43	0.4675904878
44	0.4671177957
45	0.4662894067
46	0.4656056356
47	0.4647734536
48	0.464161562
49	0.4633921104
50	0.4628779905
51	0.4624558168
52	0.461975033
53	0.4614588214
54	0.4610611604
55	0.460320312
56	0.4599361619
57	0.4595535489
58	0.4593055924
59	0.458675607
60	0.4582668252
61	0.4577225841
62	0.4575274704
63	0.457160783
64	0.4568605135
65	0.4563407667
66	0.4560173304
67	0.4558466388
68	0.4556724429
69	0.4554446743
70	0.4551913945
71	0.4547621107
72	0.4542272519
73	0.4539327861
74	0.4535606302
75	0.4532054479
76	0.452961551
77	0.4526490699
78	0.4524642389
79	0.4521459229
80	0.4519174086
81	0.4516391011
82	0.4514304648
83	0.4511388865
84	0.4507452382
85	0.4505859837
86	0.4501941115
87	0.449933017
88	0.449687272
89	0.4494832846
90	0.4491908538
91	0.4487250357
92	0.4485194621
93	0.4484038736
94	0.4479652301
95	0.4476068355
96	0.4474482953
97	0.4471353039
98	0.4469468878
99	0.4467271744
100	0.4465005035
101	0.4462723877
102	0.4460936029
103	0.4458148878
104	0.445655642
105	0.4454504414
106	0.4451932297
107	0.4450655106
108	0.4448123914
109	0.4445635978
110	0.4443341931
111	0.4441759757
112	0.4439293188
113	0.4436498506
114	0.4434860624
115	0.4430384201
116	0.4427894381
117	0.4426250718
118	0.4425151915
119	0.4422671748
120	0.4421206097
121	0.4419012144
122	0.4415635014
123	0.4413587008
124	0.4410773386
125	0.4408513475
126	0.4406464694
127	0.4404413759
128	0.4401560184
129	0.4400143254
130	0.4396884381
131	0.4395125131
132	0.4393665502
133	0.4392004116
134	0.4390442049
135	0.4388285918
136	0.438681496
137	0.4384692737
138	0.4383229781
139	0.4381209108
140	0.4379992276
141	0.4378404747
142	0.4375171816
143	0.4373258807
144	0.4372364713
145	0.4371698408
146	0.4371020666
147	0.4368115007
148	0.4366811043
149	0.4365497825
150	0.4363318717
151	0.4361350694
152	0.4359619357
153	0.4357128977
154	0.4354997086
155	0.435396367
156	0.4352562961
157	0.4350440493
158	0.4348384302
159	0.4347262757
160	0.4345855935
161	0.4343868483
162	0.4342408293
163	0.4340635079
164	0.4338131244
165	0.4336019783
166	0.4334328716
167	0.4333322557
168	0.4332610369
169	0.4331045306
170	0.4329712219
171	0.4328567976
172	0.4327606593
173	0.4325677838
174	0.4324142905
175	0.4323318588
176	0.4321940343
177	0.4320269361
178	0.4319044844
179	0.4316800876
180	0.4315689899
181	0.4314614305
182	0.4312822938
183	0.431226995
184	0.4311494237
